id,lat,lon,poi_category,poi_subcategory,poi_name,GEOID
3857827557,37.749437,-122.413623,shop,supermarket,Rubin's Market,060750229012
3869559835,37.7974628,-122.4185854,amenity,cafe,The Soap Box Cafe,060750109012
3873879798,37.7770322,-122.4231714,amenity,bar,Afterwork Bar,060750162001
3882858057,37.8023485,-122.397753,,,Consulate General of Switzerland in San Francisco,060750105001
3883822524,37.7616133,-122.4197085,shop,convenience,International Produce Market,060750208022
3891920943,37.7935066,-122.4044342,,,United Way Bay Area,060750117002
3899202702,37.7651507,-122.4601078,shop,convenience,UC Market,060750301012
3931497662,37.7926749,-122.399686,amenity,bank,Tri Counties Bank,060750117002
3931497663,37.7899577,-122.4113323,amenity,bar,Key Klub,060750119022
3960697185,37.8000847,-122.4356751,amenity,bar,Stock in Trade,060750129023
3962737526,37.7514851,-122.4327468,,,Zephyr Real Estate,060750211003
3965698511,37.8095862,-122.4102833,amenity,cafe,Crepe Cafe,060750101011
3965731542,37.7821167,-122.447215,amenity,cafe,Starbucks,060750157021
3969567204,37.7950707,-122.409663,,,Global Import & Export tranding Co.,060750113001
3969574174,37.7955571,-122.4097712,amenity,cafe,Ha Tea,060750113001
3969574176,37.795529,-122.4100247,shop,supermarket,Kiki Supermarket,060750113001
3969574178,37.7953814,-122.4099955,,,DPR Construction,060750113001
3969590468,37.7965633,-122.4102322,shop,convenience,Powell Grocery,060750107011
3969590471,37.796389,-122.4104252,,,Myanmar Overseas Youth Club,060750113001
3969593222,37.7960469,-122.4131132,,,Constead Chiropractic Clinic,060750108003
3969606065,37.7955278,-122.4184582,amenity,bar,Cafe Muse,060750110021
3969606066,37.795563,-122.4182,shop,convenience,Hyde & Pacific Liquors,060750110022
3969664042,37.7959923,-122.4042487,,,Asian Law Caucus,060750611012
3969668823,37.7957821,-122.4039263,,,NutraWorks,060750611012
3969668824,37.7958126,-122.4039575,,,PostureWorks,060750611012
3975084409,37.7974759,-122.4089937,,,Yin Yin Job Service,060750107011
3975084432,37.7974828,-122.4089608,,,Meng Trading Co,060750107011
3975094188,37.7973254,-122.4099995,amenity,bar,HolyCraft Brewery,060750107011
3975115565,37.7815526,-122.4927017,amenity,cafe,Garden House Cafe,060750427003
3976419686,37.7976965,-122.4068806,amenity,bank,Wells Fargo,060750107011
3976445299,37.7963554,-122.4048645,amenity,bank,EastWest Unibank,060750611012
3976445301,37.7961644,-122.4049775,,,International Hotel Manilatown Center,060750611012
3976476476,37.7971411,-122.410704,,,Wu Yee Children's Services,060750107011
3984165039,37.7989822,-122.4090381,amenity,bar,Vieni Vieni,060750107022
3985400819,37.7962828,-122.4053136,amenity,cafe,Quickly,060750611011
3985400820,37.7963509,-122.4053256,amenity,bar,Grasslands Bar & Lounge,060750611011
3986855420,37.7968719,-122.4054936,amenity,cafe,Happy Donut,060750611011
3987038855,37.7975878,-122.409965,amenity,cafe,Tancca,060750107012
3993039692,37.7632843,-122.4807189,amenity,cafe,Sunrise Deli,060750326012
3993039693,37.7635139,-122.481186,amenity,cafe,iTea,060750326011
3996613639,37.7390411,-122.4790464,,,Far East Mortgage Company,060750330023
3998720681,37.7640522,-122.4127986,amenity,cafe,Andytown Coffee Roasters,060750228011
4002028591,37.7621737,-122.4631356,amenity,cafe,Golden Bear Trading Company,060750301014
4003389595,37.7744927,-122.4123255,,,MEI Architects,060750178031
4004801813,37.7887695,-122.4206788,amenity,cafe,Sammy's Cafe,060750111022
4004802367,37.7887042,-122.4217777,,,Compass,060750111022
4004802370,37.7885809,-122.4222054,amenity,cafe,Starbucks,060750151003
4004977098,37.7768378,-122.4225403,amenity,bar,Sugar Lounge,060750162002
4010355532,37.765011,-122.4226685,amenity,cafe,Stanza,060750202011
4010358883,37.7694781,-122.45012,amenity,cafe,Stanza,060750166021
4010401866,37.8067715,-122.4321258,amenity,bar,The Interval,060750126022
4012290644,37.797788,-122.4307879,amenity,bank,Wells Fargo,060750130021
4012383153,37.7974021,-122.4319871,amenity,bank,Bank of America,060750130021
4015798336,37.7631135,-122.4847657,amenity,bank,Sterling Bank,060750326021
4017220288,37.7970928,-122.4086681,shop,supermarket,J & L Vegi Supermarket,060750107011
4017220491,37.7971632,-122.4087001,,,China Central Service,060750107011
4017234490,37.7635881,-122.479654,,,Park North,060750326011
4017234495,37.7636934,-122.4774093,amenity,cafe,Starbucks,060750326011
4017234499,37.7636372,-122.4785512,amenity,bar,Silver Spur,060750326011
4017234508,37.7630973,-122.4800756,,,Alexis Haselberger Coaching and Consulting,060750326012
4017234595,37.7636672,-122.4779929,amenity,bank,U.S. Bank,060750326011
4017234695,37.7633456,-122.4794373,amenity,bank,Bank of the Orient,060750326012
4017234696,37.7633786,-122.4785536,amenity,music_school,Music City Academy,060750326012
4017234697,37.7633809,-122.478515,amenity,cafe,Oh Dessert Cafe,060750326012
4017234700,37.763189,-122.4783487,amenity,prep_school,Pel Learning Center,060750326012
4017234892,37.764224,-122.4784011,amenity,music_school,San Francisco String Academy,060750326011
4017234898,37.7632993,-122.4801918,amenity,cafe,Uncle Benny's Donut & Bagel,060750326012
4017234899,37.7633065,-122.4799506,amenity,cafe,Wonderful Foods,060750326012
4018792591,37.7632392,-122.4816392,shop,convenience,S&B Supermarket,060750326012
4018792593,37.7632091,-122.4822785,amenity,cafe,Happy Bakery \/ Dim Sum To Go,060750326012
4018792605,37.7631184,-122.4844842,,,Lotus Tao SF,060750326012
