date,tavg,tmin,tmax,prcp,temp_range,is_rainy,is_hot_day
2024-06-23,17.2,13.3,21.7,0.0,8.399999999999999,0,0
2024-06-24,18.0,11.7,26.1,0.0,14.400000000000002,0,1
2024-06-25,17.9,12.8,23.9,0.0,11.099999999999998,0,0
2024-06-26,15.7,13.3,20.0,0.0,6.699999999999999,0,0
2024-06-27,16.1,12.2,20.6,0.0,8.400000000000002,0,0
2024-06-28,17.6,12.2,23.9,0.0,11.7,0,0
2024-06-29,17.4,12.8,22.8,0.0,10.0,0,0
2024-06-30,18.8,14.4,23.9,0.0,9.499999999999998,0,0
2024-07-01,18.8,13.9,25.6,0.0,11.700000000000001,0,1
2024-07-02,23.5,14.4,33.9,0.0,19.5,0,1
2024-07-03,24.2,16.7,34.4,0.0,17.7,0,1
2024-07-04,22.4,16.1,28.9,0.0,12.799999999999997,0,1
2024-07-05,20.1,13.9,26.7,0.0,12.799999999999999,0,1
2024-07-06,19.7,15.0,27.2,0.0,12.2,0,1
2024-07-07,18.2,15.0,22.8,0.0,7.800000000000001,0,0
2024-07-08,17.4,14.4,22.2,0.0,7.799999999999999,0,0
2024-07-09,17.9,15.6,22.2,0.0,6.6,0,0
2024-07-10,19.1,15.6,26.1,0.0,10.500000000000002,0,1
2024-07-11,21.7,15.0,31.1,0.0,16.1,0,1
2024-07-12,18.9,13.9,23.9,0.0,9.999999999999998,0,0
2024-07-13,16.9,13.9,21.1,0.0,7.200000000000001,0,0
2024-07-14,17.3,15.0,21.1,0.0,6.100000000000001,0,0
2024-07-15,17.6,15.0,21.7,0.0,6.699999999999999,0,0
2024-07-16,18.1,15.6,22.2,0.0,6.6,0,0
2024-07-17,17.3,14.4,21.7,0.0,7.299999999999999,0,0
2024-07-18,18.5,15.0,23.9,0.0,8.899999999999999,0,0
2024-07-19,19.9,13.3,28.9,0.0,15.599999999999998,0,1
2024-07-20,18.4,15.0,22.8,0.0,7.800000000000001,0,0
2024-07-21,16.1,14.4,18.9,0.0,4.499999999999998,0,0
2024-07-22,19.0,13.9,25.0,0.0,11.1,0,0
2024-07-23,22.1,15.6,28.9,0.0,13.299999999999999,0,1
2024-07-24,21.8,17.8,26.7,0.0,8.899999999999999,0,1
2024-07-25,20.1,16.1,27.2,0.0,11.099999999999998,0,1
2024-07-26,17.3,14.4,21.1,0.0,6.700000000000001,0,0
2024-07-27,15.5,14.4,17.2,0.0,2.799999999999999,0,0
2024-07-28,17.1,14.4,22.2,0.0,7.799999999999999,0,0
2024-07-29,17.1,15.0,20.6,0.0,5.600000000000001,0,0
2024-07-30,17.8,15.6,22.2,0.0,6.6,0,0
2024-07-31,17.8,15.0,23.3,0.0,8.3,0,0
2024-08-01,17.5,14.4,23.9,0.0,9.499999999999998,0,0
2024-08-02,17.9,15.0,22.2,0.0,7.199999999999999,0,0
2024-08-03,18.6,15.0,24.4,0.0,9.399999999999999,0,0
2024-08-04,16.5,15.0,20.0,0.0,5.0,0,0
2024-08-05,16.0,13.3,20.0,0.0,6.699999999999999,0,0
2024-08-06,18.9,14.4,28.9,0.0,14.499999999999998,0,1
2024-08-07,18.1,13.3,26.1,0.0,12.8,0,1
2024-08-08,16.6,13.9,20.6,0.0,6.700000000000001,0,0
2024-08-09,16.2,12.8,20.6,0.0,7.800000000000001,0,0
2024-08-10,17.4,15.0,22.2,0.0,7.199999999999999,0,0
2024-08-11,16.5,12.8,21.1,0.0,8.3,0,0
2024-08-12,17.0,13.9,21.7,0.0,7.799999999999999,0,0
2024-08-13,18.2,13.9,23.3,0.0,9.4,0,0
2024-08-14,18.0,14.4,22.2,0.0,7.799999999999999,0,0
2024-08-15,18.1,14.4,23.3,0.0,8.9,0,0
2024-08-16,18.7,13.9,23.3,0.0,9.4,0,0
2024-08-17,19.8,16.7,26.1,0.0,9.400000000000002,0,1
2024-08-18,19.9,16.1,23.9,0.0,7.799999999999997,0,0
2024-08-19,18.6,14.4,23.9,0.0,9.499999999999998,0,0
2024-08-20,19.7,13.3,27.2,0.0,13.899999999999999,0,1
2024-08-21,19.0,16.1,23.3,0.0,7.199999999999999,0,0
2024-08-22,19.1,16.7,22.8,0.0,6.100000000000001,0,0
2024-08-23,19.2,16.1,22.2,0.0,6.099999999999998,0,0
2024-08-24,20.4,16.7,24.4,1.0,7.699999999999999,1,0
2024-08-25,20.6,13.9,27.8,0.0,13.9,0,1
2024-08-26,21.4,15.0,30.6,0.0,15.600000000000001,0,1
2024-08-27,21.5,13.9,32.2,0.0,18.300000000000004,0,1
2024-08-28,19.3,14.4,23.9,0.0,9.499999999999998,0,0
2024-08-29,18.2,16.1,22.2,0.0,6.099999999999998,0,0
2024-08-30,18.9,16.7,23.3,0.0,6.600000000000001,0,0
2024-08-31,18.9,16.1,23.3,0.0,7.199999999999999,0,0
2024-09-01,19.4,16.1,24.4,0.0,8.299999999999997,0,0
2024-09-02,19.9,14.4,24.4,0.0,9.999999999999998,0,0
2024-09-03,20.8,12.8,32.8,0.0,19.999999999999996,0,1
2024-09-04,19.5,15.0,26.7,0.0,11.7,0,1
2024-09-05,19.1,11.1,29.4,0.0,18.299999999999997,0,1
2024-09-06,19.0,13.3,26.1,0.0,12.8,0,1
2024-09-07,17.7,14.4,23.3,0.0,8.9,0,0
2024-09-08,18.2,12.8,26.7,0.0,13.899999999999999,0,1
2024-09-09,17.5,14.4,22.2,0.0,7.799999999999999,0,0
2024-09-10,17.6,15.6,21.1,0.0,5.500000000000002,0,0
2024-09-11,18.6,15.0,23.3,0.0,8.3,0,0
2024-09-12,18.7,13.9,25.0,0.0,11.1,0,0
2024-09-13,18.2,12.2,25.6,0.0,13.400000000000002,0,1
2024-09-14,16.3,12.2,21.1,0.0,8.900000000000002,0,0
2024-09-15,16.5,15.0,20.0,0.0,5.0,0,0
2024-09-16,16.3,13.9,21.1,0.0,7.200000000000001,0,0
