geoid,neighbor
060750230031,060750232001
060750230031,060750232003
060750230031,060750233002
060750230031,060750612003
060750230032,060750230012
060750230032,060750230013
060750230032,060750230031
060750230032,060750230033
060750230032,060750233002
060750231022,060750231021
060750231022,060750231032
060750231022,060750232002
060750231022,060750232003
060750231022,060750612001
060750231032,060750231021
060750231032,060750231022
060750231032,060750231031
060750231032,060750232002
060750231032,060759806001
060750231032,060759902000
060750230033,060750230012
060750230033,060750230031
060750230033,060750230032
060750230033,060750612003
060750230012,060750230011
060750230012,060750230013
060750230012,060750230032
060750230012,060750230033
060750257022,060750230011
060750257022,060750230013
060750257022,060750257012
060750257022,060750257013
060750257022,060750257021
060750257022,060750257023
060750257012,060750230011
060750257012,060750251003
060750257012,060750254023
060750257012,060750254032
060750257012,060750257011
060750257012,060750257013
060750257012,060750257022
060750254023,060750251003
060750254023,060750252003
060750254023,060750254022
060750254023,060750254032
060750254023,060750257012
060750251003,060750229032
060750251003,060750229033
060750251003,060750251001
060750251003,060750251002
060750251003,060750252003
060750251003,060750254023
060750251003,060750257012
060750251003,060759809001
060750251002,060750251001
060750251002,060750251003
060750251002,060750252002
060750251002,060750252003
060750251001,060750229022
060750251001,060750229033
060750251001,060750251002
060750251001,060750251003
060750251001,060750252001
060750251001,060750252002
060750229022,060750229012
060750229022,060750229021
060750229022,060750229033
060750229022,060750251001
060750229022,060750252001
060750229033,060750229022
060750229033,060750229031
060750229033,060750229032
060750229033,060750251001
060750229033,060750251003
060750229032,060750228022
060750229032,060750229031
060750229032,060750229033
060750229032,060750251003
060750229032,060750614012
060750229021,060750228033
060750229021,060750229011
060750229021,060750229012
060750229021,060750229022
060750229021,060750229031
060750612003,060750230011
060750612003,060750230031
060750612003,060750230033
060750612003,060750232003
060750612003,060750612001
060750612003,060750612002
060750612003,060759809001
060750231021,060750231022
060750231021,060750231031
060750231021,060750231032
060750231021,060750612001
060750231021,060759809001
060750230011,060750230012
060750230011,060750230013
060750230011,060750257012
060750230011,060750257022
060750230011,060750612003
060750230011,060759809001
060750612002,060750612001
060750612002,060750612003
060750612002,060759809001
060750612001,060750231021
060750612001,060750231022
060750612001,060750232003
060750612001,060750612002
060750612001,060750612003
060750612001,060759809001
060750231031,060750231021
060750231031,060750231032
060750231031,060759809001
060750231031,060759902000
060759809001,060750226001
060759809001,060750226002
060759809001,060750230011
060759809001,060750231021
060759809001,060750231031
060759809001,060750251003
060759809001,060750612001
060759809001,060750612002
060759809001,060750612003
060759809001,060750614011
060759809001,060750614012
060759809001,060750614022
060759809001,060759902000
060750614012,060750229032
060750614012,060750614011
060750614012,060750614013
060750614012,060759809001
060750614011,060750614012
060750614011,060750614013
060750614011,060750614022
060750614011,060759809001
060750614022,060750226001
060750614022,060750614011
060750614022,060750614013
060750614022,060750614021
060750614022,060759809001
060750254012,060750252004
060750254012,060750254011
060750254012,060750254013
060750254012,060750254021
060750254012,060750254032
060750252003,060750251002
060750252003,060750251003
060750252003,060750252002
060750252003,060750252004
060750252003,060750254021
060750252003,060750254022
060750252003,060750254023
060750252004,060750252002
060750252004,060750252003
060750252004,060750253001
060750252004,060750253002
060750252004,060750254012
060750252004,060750254021
060750253001,060750252002
060750253001,060750252004
060750253001,060750253002
060750253001,060750253004
060750252002,060750251001
060750252002,060750251002
